"VMName","ResourceGroup","OperatingSystem","Output"
"Ps-Test","nf-test","Linux","Enable succeeded: "
"Ps-Test","nf-test","Linux","[stdout]"
"Ps-Test","nf-test","Linux","Filesystem      Size  Used Avail Use% Mounted on"
"Ps-Test","nf-test","Linux","/dev/root        29G  2.5G   27G   9% /"
"Ps-Test","nf-test","Linux","devtmpfs        3.9G     0  3.9G   0% /dev"
"Ps-Test","nf-test","Linux","tmpfs           3.9G     0  3.9G   0% /dev/shm"
"Ps-Test","nf-test","Linux","tmpfs           789M  984K  788M   1% /run"
"Ps-Test","nf-test","Linux","tmpfs           5.0M     0  5.0M   0% /run/lock"
"Ps-Test","nf-test","Linux","tmpfs           3.9G     0  3.9G   0% /sys/fs/cgroup"
"Ps-Test","nf-test","Linux","/dev/loop0       64M   64M     0 100% /snap/core20/2105"
"Ps-Test","nf-test","Linux","/dev/loop3       41M   41M     0 100% /snap/snapd/20671"
"Ps-Test","nf-test","Linux","/dev/loop2       92M   92M     0 100% /snap/lxd/24061"
"Ps-Test","nf-test","Linux","/dev/loop1       64M   64M     0 100% /snap/core20/2182"
"Ps-Test","nf-test","Linux","/dev/sda15      105M  6.1M   99M   6% /boot/efi"
"Ps-Test","nf-test","Linux","/dev/sdb1        16G   28K   15G   1% /mnt"
"Ps-Test","nf-test","Linux","/dev/loop4       40M   40M     0 100% /snap/snapd/21184"
"Ps-Test","nf-test","Linux","[stderr]"
