"VMName","ResourceGroup","UniqueId","DriveLetter","DriveType","FileSystem","FileSystemLabel","SizeGB","SizeRemainingGB","HealthStatus","OperationalStatus","DiskName","DiskSizeGB","DiskType"
"chanto","nf-test","\\?\Volume{0d3083f8-6df2-47b4-8573-d8767d1d11e5}\","DriveType            : Fixed",,"FAT32","FileSystemType       : FAT32","0.09","0.06","Healthy","OK","N/A","N/A","N/A"
"chanto","nf-test","\\?\Volume{860399fe-2144-4770-9f07-c18dd3d9f618}\","DriveType            : Fixed",,"NTFS","Recovery","0.44","0.42","Healthy","OK","N/A","N/A","N/A"
"chanto","nf-test","\\?\Volume{a8273e26-0000-0000-0000-100000000000}\","D","Fixed","NTFS","Temporary Storage","16","14.07","Healthy","OK","N/A","N/A","N/A"
"chanto","nf-test","\\?\Volume{d2ce86bf-ad3e-43f7-bd1c-4bba5689b328}\","C","Fixed","NTFS","Windows","126.45","115.49","Healthy","OK","N/A","N/A","N/A"
"chanto","nf-test","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","chanto_OsDisk_1_83a473e4573847b58fe628d544fea18a","127","Premium_LRS"
"chanto","nf-test","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","chanto_DataDisk_0","4","Standard_LRS"
"chanto","nf-test","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","test_chanto","4","StandardSSD_ZRS"
"nf-win01","nf-test",,"DriveType            : Fixed",,"NTFS","Recovery","0.44","0.42","Healthy","OK","N/A","N/A","N/A"
"nf-win01","nf-test","\\?\Volume{6bb27f1d-b014-435a-8823-18d411f8fb94}\","G","Fixed","NTFS","New Volume","31.43","31.35","Healthy","OK","N/A","N/A","N/A"
"nf-win01","nf-test","\\?\Volume{c4a56ade-4ad6-4376-9531-f9911936916e}\","DriveType            : Fixed",,"FAT32","FileSystemType       : FAT32","0.09","0.06","Healthy","OK","N/A","N/A","N/A"
"nf-win01","nf-test","\\?\Volume{c83617a2-1b53-4a89-ba98-5e57f89e9d4a}\","E","Fixed","NTFS","New Volume","127.98","127.89","Healthy","OK","N/A","N/A","N/A"
"nf-win01","nf-test","\\?\Volume{f985e23b-0000-0000-0000-100000000000}\","D","Fixed","NTFS","Temporary Storage","7","6.34","Healthy","OK","N/A","N/A","N/A"
"nf-win01","nf-test","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","nf-win01_OsDisk_1_54086a372c864b43884763c888715af0","127","Premium_LRS"
"nf-win01","nf-test","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","nf-win01_DataDisk_0","128","Standard_LRS"
"nf-win01","nf-test","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","nf-win01_DataDisk_1","32","Standard_LRS"
"Ps-Test","nf-test",,,,,,"0","0",,,"N/A","N/A","N/A"
"Ps-Test","nf-test","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Ps-Test_disk1_b82f22c635e145ce86b4f47ed3cd3f06","30","Premium_LRS"
