"VMName","ResourceGroup","OperatingSystem","Key","Value"
"chanto","nf-test","Windows","ObjectId","{1}\\chanto\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{7425ecce-df34-11ee"
"chanto","nf-test","Windows","PassThroughClass",""
"chanto","nf-test","Windows","PassThroughIds",""
"chanto","nf-test","Windows","PassThroughNamespace",""
"chanto","nf-test","Windows","PassThroughServer",""
"chanto","nf-test","Windows","UniqueId","\\?\Volume{0d3083f8-6df2-47b4-8573-d8767d1d11e5}\"
"chanto","nf-test","Windows","AllocationUnitSize","512"
"chanto","nf-test","Windows","DedupMode","NotAvailable"
"chanto","nf-test","Windows","DriveLetter",""
"chanto","nf-test","Windows","DriveType","Fixed"
"chanto","nf-test","Windows","FileSystem","FAT32"
"chanto","nf-test","Windows","FileSystemLabel",""
"chanto","nf-test","Windows","FileSystemType","FAT32"
"chanto","nf-test","Windows","HealthStatus","Healthy"
"chanto","nf-test","Windows","OperationalStatus","OK"
"chanto","nf-test","Windows","Path","\\?\Volume{0d3083f8-6df2-47b4-8573-d8767d1d11e5}\"
"chanto","nf-test","Windows","Size","0.09 GB"
"chanto","nf-test","Windows","SizeRemaining","0.06 GB"
"chanto","nf-test","Windows","PSComputerName",""
"chanto","nf-test","Windows","ObjectId","{1}\\chanto\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{7425ecce-df34-11ee"
"chanto","nf-test","Windows","PassThroughClass",""
"chanto","nf-test","Windows","PassThroughIds",""
"chanto","nf-test","Windows","PassThroughNamespace",""
"chanto","nf-test","Windows","PassThroughServer",""
"chanto","nf-test","Windows","UniqueId","\\?\Volume{860399fe-2144-4770-9f07-c18dd3d9f618}\"
"chanto","nf-test","Windows","AllocationUnitSize","4096"
"chanto","nf-test","Windows","DedupMode","NotAvailable"
"chanto","nf-test","Windows","DriveLetter",""
"chanto","nf-test","Windows","DriveType","Fixed"
"chanto","nf-test","Windows","FileSystem","NTFS"
"chanto","nf-test","Windows","FileSystemLabel","Recovery"
"chanto","nf-test","Windows","FileSystemType","NTFS"
"chanto","nf-test","Windows","HealthStatus","Healthy"
"chanto","nf-test","Windows","OperationalStatus","OK"
"chanto","nf-test","Windows","Path","\\?\Volume{860399fe-2144-4770-9f07-c18dd3d9f618}\"
"chanto","nf-test","Windows","Size","0.44 GB"
"chanto","nf-test","Windows","SizeRemaining","0.42 GB"
"chanto","nf-test","Windows","PSComputerName",""
"chanto","nf-test","Windows","ObjectId","{1}\\chanto\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{7425ecce-df34-11ee"
"chanto","nf-test","Windows","PassThroughClass",""
"chanto","nf-test","Windows","PassThroughIds",""
"chanto","nf-test","Windows","PassThroughNamespace",""
"chanto","nf-test","Windows","PassThroughServer",""
"chanto","nf-test","Windows","UniqueId","\\?\Volume{a8273e26-0000-0000-0000-100000000000}\"
"chanto","nf-test","Windows","AllocationUnitSize","4096"
"chanto","nf-test","Windows","DedupMode","NotAvailable"
"chanto","nf-test","Windows","DriveLetter","D"
"chanto","nf-test","Windows","DriveType","Fixed"
"chanto","nf-test","Windows","FileSystem","NTFS"
"chanto","nf-test","Windows","FileSystemLabel","Temporary Storage"
"chanto","nf-test","Windows","FileSystemType","NTFS"
"chanto","nf-test","Windows","HealthStatus","Healthy"
"chanto","nf-test","Windows","OperationalStatus","OK"
"chanto","nf-test","Windows","Path","\\?\Volume{a8273e26-0000-0000-0000-100000000000}\"
"chanto","nf-test","Windows","Size","16 GB"
"chanto","nf-test","Windows","SizeRemaining","14.69 GB"
"chanto","nf-test","Windows","PSComputerName",""
"chanto","nf-test","Windows","ObjectId","{1}\\chanto\root/Microsoft/Windows/Storage/Providers_v2\WSP_Volume.ObjectId=""{7425ecce-df34-11ee"
"chanto","nf-test","Windows","PassThroughClass",""
"chanto","nf-test","Windows","PassThroughIds",""
"chanto","nf-test","Windows","PassThroughNamespace",""
"chanto","nf-test","Windows","PassThroughServer",""
"chanto","nf-test","Windows","UniqueId","\\?\Volume{d2ce86bf-ad3e-43f7-bd1c-4bba5689b328}\"
"chanto","nf-test","Windows","AllocationUnitSize","4096"
"chanto","nf-test","Windows","DedupMode","NotAvailable"
"chanto","nf-test","Windows","DriveLetter","C"
"chanto","nf-test","Windows","DriveType","Fixed"
"chanto","nf-test","Windows","FileSystem","NTFS"
"chanto","nf-test","Windows","FileSystemLabel","Windows"
"chanto","nf-test","Windows","FileSystemType","NTFS"
"chanto","nf-test","Windows","HealthStatus","Healthy"
"chanto","nf-test","Windows","OperationalStatus","OK"
"chanto","nf-test","Windows","Path","\\?\Volume{d2ce86bf-ad3e-43f7-bd1c-4bba5689b328}\"
"chanto","nf-test","Windows","Size","126.45 GB"
"chanto","nf-test","Windows","SizeRemaining","115.54 GB"
"chanto","nf-test","Windows","PSComputerName",""
